Follower Timeouts, Cumulative Percent, Time to elect Leader
12-24,0.000500,15.276909
12-24,0.001500,15.480995
12-24,0.002500,15.869141
12-24,0.003500,16.011953
12-24,0.004500,16.076088
12-24,0.005500,16.283989
12-24,0.006500,16.438007
12-24,0.007500,16.501904
12-24,0.008500,16.631126
12-24,0.009500,16.725063
12-24,0.010500,16.731024
12-24,0.011500,16.741991
12-24,0.012500,16.846180
12-24,0.013500,16.911030
12-24,0.014500,16.954899
12-24,0.015500,17.133951
12-24,0.016500,17.235041
12-24,0.017500,17.251968
12-24,0.018500,17.267942
12-24,0.019500,17.313004
12-24,0.020500,17.517090
12-24,0.021500,17.688990
12-24,0.022500,17.739058
12-24,0.023500,17.755032
12-24,0.024500,17.765999
12-24,0.025500,17.801046
12-24,0.026500,17.805099
12-24,0.027500,17.825127
12-24,0.028500,17.834902
12-24,0.029500,17.861843
12-24,0.030500,17.927885
12-24,0.031500,17.952919
12-24,0.032500,17.956972
12-24,0.033500,18.033981
12-24,0.034500,18.083096
12-24,0.035500,18.090010
12-24,0.036500,18.095970
12-24,0.037500,18.130064
12-24,0.038500,18.157005
12-24,0.039500,18.177032
12-24,0.040500,18.192053
12-24,0.041500,18.213987
12-24,0.042500,18.261909
12-24,0.043500,18.265963
12-24,0.044500,18.308878
12-24,0.045500,18.370152
12-24,0.046500,18.435955
12-24,0.047500,18.445969
12-24,0.048500,18.466949
12-24,0.049500,18.475056
12-24,0.050500,18.495798
12-24,0.051500,18.507957
12-24,0.052500,18.518925
12-24,0.053500,18.553972
12-24,0.054500,18.558025
12-24,0.055500,18.566132
12-24,0.056500,18.572092
12-24,0.057500,18.598795
12-24,0.058500,18.617153
12-24,0.059500,18.646955
12-24,0.060500,18.661976
12-24,0.061500,18.671989
12-24,0.062500,18.686056
12-24,0.063500,18.697977
12-24,0.064500,18.732071
12-24,0.065500,18.784046
12-24,0.066500,18.807173
12-24,0.067500,18.844128
12-24,0.068500,18.855810
12-24,0.069500,18.859863
12-24,0.070500,18.863916
12-24,0.071500,18.876076
12-24,0.072500,18.876076
12-24,0.073500,18.882036
12-24,0.074500,18.886089
12-24,0.075500,18.904924
12-24,0.076500,18.915892
12-24,0.077500,19.047976
12-24,0.078500,19.077063
12-24,0.079500,19.144058
12-24,0.080500,19.186974
12-24,0.081500,19.189119
12-24,0.082500,19.216061
12-24,0.083500,19.223928
12-24,0.084500,19.226789
12-24,0.085500,19.235849
12-24,0.086500,19.286871
12-24,0.087500,19.290924
12-24,0.088500,19.359112
12-24,0.089500,19.384861
12-24,0.090500,19.422054
12-24,0.091500,19.506931
12-24,0.092500,19.540071
12-24,0.093500,19.547939
12-24,0.094500,19.553900
12-24,0.095500,19.589901
12-24,0.096500,19.607067
12-24,0.097500,19.623995
12-24,0.098500,19.670963
12-24,0.099500,19.711018
12-24,0.100500,19.716024
12-24,0.101500,19.774914
12-24,0.102500,19.850969
12-24,0.103500,19.903183
12-24,0.104500,19.927979
12-24,0.105500,19.953966
12-24,0.106500,19.989014
12-24,0.107500,20.061970
12-24,0.108500,20.089865
12-24,0.109500,20.128965
12-24,0.110500,20.190001
12-24,0.111500,20.218134
12-24,0.112500,20.222902
12-24,0.113500,20.230055
12-24,0.114500,20.247936
12-24,0.115500,20.262957
12-24,0.116500,20.270824
12-24,0.117500,20.272017
12-24,0.118500,20.356178
12-24,0.119500,20.360947
12-24,0.120500,20.378113
12-24,0.121500,20.417929
12-24,0.122500,20.421028
12-24,0.123500,20.503998
12-24,0.124500,20.504951
12-24,0.125500,20.633936
12-24,0.126500,20.651102
12-24,0.127500,20.695925
12-24,0.128500,20.724058
12-24,0.129500,20.884037
12-24,0.130500,20.931005
12-24,0.131500,21.075964
12-24,0.132500,21.099091
12-24,0.133500,21.146059
12-24,0.134500,21.165848
12-24,0.135500,21.215916
12-24,0.136500,21.234035
12-24,0.137500,21.254063
12-24,0.138500,21.263123
12-24,0.139500,21.281958
12-24,0.140500,21.332026
12-24,0.141500,21.368027
12-24,0.142500,21.371841
12-24,0.143500,21.378040
12-24,0.144500,21.391153
12-24,0.145500,21.404028
12-24,0.146500,21.407127
12-24,0.147500,21.414995
12-24,0.148500,21.440983
12-24,0.149500,21.499157
12-24,0.150500,21.529913
12-24,0.151500,21.547079
12-24,0.152500,21.587133
12-24,0.153500,21.719217
12-24,0.154500,21.737099
12-24,0.155500,21.762848
12-24,0.156500,21.776915
12-24,0.157500,21.821022
12-24,0.158500,21.847963
12-24,0.159500,21.861076
12-24,0.160500,21.897793
12-24,0.161500,21.901846
12-24,0.162500,21.902084
12-24,0.163500,21.903038
12-24,0.164500,21.927118
12-24,0.165500,21.959066
12-24,0.166500,21.972895
12-24,0.167500,21.976948
12-24,0.168500,22.000790
12-24,0.169500,22.125959
12-24,0.170500,22.128820
12-24,0.171500,22.166967
12-24,0.172500,22.190809
12-24,0.173500,22.222996
12-24,0.174500,22.238016
12-24,0.175500,22.248983
12-24,0.176500,22.294998
12-24,0.177500,22.354126
12-24,0.178500,22.378922
12-24,0.179500,22.403955
12-24,0.180500,22.418022
12-24,0.181500,22.449017
12-24,0.182500,22.515059
12-24,0.183500,22.517920
12-24,0.184500,22.544861
12-24,0.185500,22.573233
12-24,0.186500,22.578955
12-24,0.187500,22.588968
12-24,0.188500,22.637844
12-24,0.189500,22.674084
12-24,0.190500,22.727013
12-24,0.191500,22.732973
12-24,0.192500,22.778988
12-24,0.193500,22.783995
12-24,0.194500,22.787094
12-24,0.195500,22.787809
12-24,0.196500,22.818089
12-24,0.197500,22.819996
12-24,0.198500,22.878885
12-24,0.199500,22.894859
12-24,0.200500,22.900105
12-24,0.201500,22.958994
12-24,0.202500,22.974014
12-24,0.203500,22.984982
12-24,0.204500,23.040056
12-24,0.205500,23.092985
12-24,0.206500,23.106098
12-24,0.207500,23.145914
12-24,0.208500,23.154974
12-24,0.209500,23.176908
12-24,0.210500,23.233175
12-24,0.211500,23.242950
12-24,0.212500,23.248911
12-24,0.213500,23.280859
12-24,0.214500,23.281097
12-24,0.215500,23.402929
12-24,0.216500,23.416042
12-24,0.217500,23.517132
12-24,0.218500,23.537159
12-24,0.219500,23.559809
12-24,0.220500,23.577929
12-24,0.221500,23.580074
12-24,0.222500,23.586988
12-24,0.223500,23.614168
12-24,0.224500,23.647070
12-24,0.225500,23.658037
12-24,0.226500,23.661137
12-24,0.227500,23.676872
12-24,0.228500,23.729086
12-24,0.229500,23.772001
12-24,0.230500,23.897886
12-24,0.231500,23.929119
12-24,0.232500,23.974895
12-24,0.233500,24.016142
12-24,0.234500,24.020910
12-24,0.235500,24.049044
12-24,0.236500,24.055958
12-24,0.237500,24.095058
12-24,0.238500,24.098873
12-24,0.239500,24.126053
12-24,0.240500,24.147034
12-24,0.241500,24.168968
12-24,0.242500,24.181843
12-24,0.243500,24.197102
12-24,0.244500,24.214983
12-24,0.245500,24.218798
12-24,0.246500,24.221897
12-24,0.247500,24.331093
12-24,0.248500,24.398804
12-24,0.249500,24.410009
12-24,0.250500,24.444103
12-24,0.251500,24.466991
12-24,0.252500,24.476051
12-24,0.253500,24.480104
12-24,0.254500,24.495125
12-24,0.255500,24.504185
12-24,0.256500,24.522781
12-24,0.257500,24.551153
12-24,0.258500,24.567127
12-24,0.259500,24.569035
12-24,0.260500,24.606228
12-24,0.261500,24.629831
12-24,0.262500,24.644852
12-24,0.263500,24.722099
12-24,0.264500,24.729013
12-24,0.265500,24.739027
12-24,0.266500,24.859905
12-24,0.267500,24.940014
12-24,0.268500,24.950027
12-24,0.269500,24.954081
12-24,0.270500,24.960995
12-24,0.271500,24.963140
12-24,0.272500,24.981022
12-24,0.273500,25.003910
12-24,0.274500,25.079966
12-24,0.275500,25.129080
12-24,0.276500,25.140047
12-24,0.277500,25.202036
12-24,0.278500,25.270939
12-24,0.279500,25.280952
12-24,0.280500,25.306940
12-24,0.281500,25.314808
12-24,0.282500,25.326014
12-24,0.283500,25.327921
12-24,0.284500,25.357962
12-24,0.285500,25.359154
12-24,0.286500,25.369883
12-24,0.287500,25.400162
12-24,0.288500,25.434017
12-24,0.289500,25.455952
12-24,0.290500,25.475979
12-24,0.291500,25.485039
12-24,0.292500,25.522947
12-24,0.293500,25.544167
12-24,0.294500,25.579929
12-24,0.295500,25.584936
12-24,0.296500,25.587797
12-24,0.297500,25.640965
12-24,0.298500,25.683880
12-24,0.299500,25.735140
12-24,0.300500,25.763035
12-24,0.301500,25.787115
12-24,0.302500,25.799036
12-24,0.303500,25.852203
12-24,0.304500,25.854826
12-24,0.305500,25.892973
12-24,0.306500,25.911093
12-24,0.307500,25.931120
12-24,0.308500,25.954962
12-24,0.309500,25.972843
12-24,0.310500,25.979996
12-24,0.311500,25.981903
12-24,0.312500,25.990009
12-24,0.313500,26.025057
12-24,0.314500,26.025057
12-24,0.315500,26.031971
12-24,0.316500,26.080132
12-24,0.317500,26.105165
12-24,0.318500,26.147842
12-24,0.319500,26.154995
12-24,0.320500,26.166916
12-24,0.321500,26.175022
12-24,0.322500,26.175976
12-24,0.323500,26.198149
12-24,0.324500,26.218176
12-24,0.325500,26.237965
12-24,0.326500,26.242971
12-24,0.327500,26.245117
12-24,0.328500,26.290894
12-24,0.329500,26.292086
12-24,0.330500,26.296854
12-24,0.331500,26.304960
12-24,0.332500,26.329041
12-24,0.333500,26.334047
12-24,0.334500,26.360989
12-24,0.335500,26.370049
12-24,0.336500,26.372910
12-24,0.337500,26.411057
12-24,0.338500,26.422024
12-24,0.339500,26.446819
12-24,0.340500,26.448011
12-24,0.341500,26.458025
12-24,0.342500,26.484013
12-24,0.343500,26.551008
12-24,0.344500,26.580095
12-24,0.345500,26.646137
12-24,0.346500,26.723146
12-24,0.347500,26.724815
12-24,0.348500,26.726961
12-24,0.349500,26.790857
12-24,0.350500,26.832104
12-24,0.351500,26.852131
12-24,0.352500,26.886940
12-24,0.353500,26.901007
12-24,0.354500,26.924849
12-24,0.355500,26.959896
12-24,0.356500,26.962996
12-24,0.357500,26.964903
12-24,0.358500,27.006865
12-24,0.359500,27.013063
12-24,0.360500,27.033091
12-24,0.361500,27.078152
12-24,0.362500,27.100086
12-24,0.363500,27.161121
12-24,0.364500,27.195930
12-24,0.365500,27.205944
12-24,0.366500,27.208805
12-24,0.367500,27.246952
12-24,0.368500,27.255058
12-24,0.369500,27.256012
12-24,0.370500,27.297974
12-24,0.371500,27.308941
12-24,0.372500,27.350903
12-24,0.373500,27.355909
12-24,0.374500,27.360201
12-24,0.375500,27.373075
12-24,0.376500,27.388811
12-24,0.377500,27.426004
12-24,0.378500,27.427912
12-24,0.379500,27.433157
12-24,0.380500,27.498960
12-24,0.381500,27.505159
12-24,0.382500,27.508974
12-24,0.383500,27.519941
12-24,0.384500,27.546883
12-24,0.385500,27.550936
12-24,0.386500,27.558088
12-24,0.387500,27.567863
12-24,0.388500,27.573109
12-24,0.389500,27.647018
12-24,0.390500,27.648926
12-24,0.391500,27.657986
12-24,0.392500,27.676105
12-24,0.393500,27.705193
12-24,0.394500,27.727842
12-24,0.395500,27.730942
12-24,0.396500,27.734995
12-24,0.397500,27.781010
12-24,0.398500,27.811050
12-24,0.399500,27.876139
12-24,0.400500,27.921915
12-24,0.401500,27.940035
12-24,0.402500,27.954102
12-24,0.403500,27.955055
12-24,0.404500,27.959108
12-24,0.405500,28.038025
12-24,0.406500,28.078079
12-24,0.407500,28.090954
12-24,0.408500,28.139830
12-24,0.409500,28.152943
12-24,0.410500,28.216124
12-24,0.411500,28.270960
12-24,0.412500,28.277159
12-24,0.413500,28.284788
12-24,0.414500,28.285027
12-24,0.415500,28.295994
12-24,0.416500,28.299093
12-24,0.417500,28.301954
12-24,0.418500,28.314114
12-24,0.419500,28.340101
12-24,0.420500,28.348923
12-24,0.421500,28.424978
12-24,0.422500,28.454065
12-24,0.423500,28.464079
12-24,0.424500,28.465033
